"num","productNum","billToName","qty","qtyonhand","QTYONORDERPO","QTYONORDERTO","qtyonordertotal","soitemstatusId","sostatusId","pickitemstatusId","soitemtypeId","dateLastModified","note"
"212182","HIK-DS-7608NXI-I2/8P/4S-3TB","J & C ELECTRICAL CONTRACTING","1.000000000","0.0","0.0","1.0","1.0","10","20","10","10","2020-09-01 14:26:43.11",
"212182","HIK-DS-2CD2347G1-L-2.8","J & C ELECTRICAL CONTRACTING","2.000000000","15.0","180.0","0.0","180.0","10","20","10","10","2020-09-01 14:26:43.1",
"212205","BRA-1660ZJ","SECURITY PERTH","1.000000000","1.0","0.0","1.0","1.0","10","20","10","10","2020-09-01 12:15:27.29","TO8648"
"212290","BRA-1280ZJ-S","PLATINIUM SECURITY & COMMUNICATIONS","2.000000000","52.0","40.0","0.0","40.0","20","25","30","10","2020-09-04 13:38:30.703",
"212310","TAK-PA-4810","DVL","29.000000000","0.0","29.0","0.0","29.0","10","20","10","10","2020-09-02 11:58:34.941",
"212548","TVI-7208HUHI-K2-3TB","SAPIO PTY LTD","1.000000000","14.0","0.0","0.0","0.0","20","25","30","10","2020-09-04 11:36:50.136",
"212624","UB-LOCOM5","FORTIS SECURITY","2.000000000","21.0","0.0","0.0","0.0","20","25","30","10","2020-09-04 13:54:30.272",
"212624","UB-ETH-SP-G2","FORTIS SECURITY","2.000000000","17.0","0.0","0.0","0.0","20","25","30","10","2020-09-04 13:54:30.286",
"212624","UB-AM","FORTIS SECURITY","2.000000000","28.0","0.0","0.0","0.0","20","25","30","10","2020-09-04 13:54:30.295",
"212624","Labour-Cameras","FORTIS SECURITY",,"0.0","0.0","0.0","0.0","10","25",,"10","2020-09-04 13:54:30.304",
