num,productNum,billToName,qty,qtyonhand,qtyonorderpo,qtyonorderto,qtyonordertotal,soitemstatusId,sostatusId,pickitemstatusId,soitemtypeId,dateLastModified
207955,CABL41-VSP-BLU,PRESTIGE ALARMS,2,0,72,0,72,10,25,5,10,17/07/2020
208275,SONY-SNC-WR632C,GLOBAL COMMUNICATION SERVICES,4,0,4,0,4,10,25,5,10,26/08/2020
208275,SONY-UNI-WMB2P/T,GLOBAL COMMUNICATION SERVICES,1,1,3,0,3,20,25,30,10,26/08/2020
208275,SONY-UNI-WMB2P/T,GLOBAL COMMUNICATION SERVICES,3,1,3,0,3,20,25,5,10,26/08/2020
208374,AX-P3227-LVE,ROCK & WIRE PTY LTD,1,1,1,0,1,10,20,10,10,30/07/2020
208374,AX-T91G61-WALL-MOUNT,ROCK & WIRE PTY LTD,1,0,1,0,1,10,20,10,10,30/07/2020
208374,AX-Q6010-E-50HZ,ROCK & WIRE PTY LTD,1,0,1,0,1,10,20,10,10,30/07/2020
208497,HIK-DS-2CD2765G1-IZS,BLUE FORCE PTY LTD,4,140,112,0,112,20,25,30,10,26/08/2020
208497,BRA-1473ZJ-155,BLUE FORCE PTY LTD,4,33,52,0,52,20,25,30,10,26/08/2020
208513,DELL-SERVER-R540-14BAY,TECH WEST,1,0,0,0,0,10,25,5,10,19/08/2020
208513,DELL-OS-WS2016STA,TECH WEST,1,0,0,0,0,10,25,5,10,19/08/2020
208513,DELL-HDD-SAS-300GB-3.5INCH-14G,TECH WEST,2,2,0,0,0,10,25,11,10,19/08/2020
208513,DELL-HDD-NLSAS-12TB-14G,TECH WEST,7,0,0,0,0,10,25,5,10,19/08/2020
208513,MILE-PLUS-PRO-XPPPLUSBL,TECH WEST,,0,0,0,0,10,25,,12,19/08/2020
208513,MILE-PLUS-PRO-XPPPLUSDL,TECH WEST,,0,0,0,0,10,25,,12,19/08/2020
208513,MILE-PLUS-PRO-YXPPPLUSDL,TECH WEST,,0,0,0,0,10,25,,12,19/08/2020
208513,DELL-HDD-SAS-300GB-3.5INCH-14G,TECH WEST,2,2,0,0,0,10,25,5,10,19/08/2020
